Order_ID,Product_ID,Product_Category,Product_Price,Order_Quantity,Discount_Applied,discount_percentage,Supplier_Name,Region,Return_Status,return_probability,risk_category
ORD00000000,PROD00000000,Clothing,411.59,3,45.27,10.99880949488569,GlobalSupplyCo,North,Returned,0.5775679940552851,High
ORD00000001,PROD00000001,Books,288.88,3,47.79,16.54320132927167,MegaDistributorLLC,Central,Returned,0.5193551289076901,Medium
ORD00000002,PROD00000002,Toys,390.03,5,26.64,6.830243827397893,PrimeSourceLtd,South,NotReturned,0.4097821418540144,Low
ORD00000003,PROD00000003,Toys,401.09,3,15.37,3.8320576429230346,GlobalSupplyCo,South,NotReturned,0.4597895413436628,Low
ORD00000004,PROD00000004,Books,110.09,4,16.37,14.869652102824963,ReliableSuppliesInc,East,NotReturned,0.4681082118569136,Low
ORD00000005,PROD00000005,Electronics,252.12,1,47.61,18.883864826273204,GlobalSupplyCo,East,Returned,0.5432956155879745,High
ORD00000006,PROD00000006,Clothing,382.89,2,28.49,7.440779336101752,GlobalSupplyCo,Central,Returned,0.5258434861732354,Medium
ORD00000007,PROD00000007,Electronics,306.39,3,38.91,12.699500636443748,PrimeSourceLtd,East,Returned,0.5768380000018773,High
ORD00000008,PROD00000008,Home,302.4,5,18.5,6.117724867724869,GlobalSupplyCo,East,Returned,0.5659923321851736,High
ORD00000009,PROD00000009,Clothing,294.94,3,45.21,15.328541398250492,GlobalSupplyCo,East,Returned,0.5453193707537607,High
ORD00000010,PROD00000010,Toys,119.0,2,8.72,7.327731092436976,GlobalSupplyCo,West,NotReturned,0.4940765568261806,Medium
ORD00000011,PROD00000011,Home,480.48,4,0.27,0.0561938061938062,DirectGoodsCorp,South,NotReturned,0.5302775527909036,Medium
ORD00000012,PROD00000012,Toys,216.41,3,30.26,13.982717989002358,QuickStockPartners,Central,NotReturned,0.4477945352581047,Low
ORD00000013,PROD00000013,Electronics,198.78,2,36.58,18.40225374786196,TechVendorInc,South,NotReturned,0.47740247978435973,Medium
ORD00000014,PROD00000014,Electronics,146.37,4,28.23,19.286739085878253,TechVendorInc,East,NotReturned,0.4598754812636407,Low
ORD00000015,PROD00000015,Electronics,370.08,2,23.99,6.482382187635105,ReliableSuppliesInc,Central,Returned,0.5257460800076607,Medium
ORD00000016,PROD00000016,Clothing,311.08,1,6.66,2.140928378552141,GlobalSupplyCo,West,NotReturned,0.4212886890125357,Low
ORD00000017,PROD00000017,Electronics,400.12,1,18.25,4.561131660501849,QuickStockPartners,East,Returned,0.5516281119937857,High
ORD00000018,PROD00000018,Books,358.31,1,11.84,3.304401216823421,PrimeSourceLtd,South,Returned,0.5353984323803265,High
ORD00000019,PROD00000019,Electronics,227.94,5,43.86,19.241905764674915,FastShipLogistics,West,Returned,0.5951968879660215,High
ORD00000020,PROD00000020,Clothing,6.14,1,47.47,773.127035830619,TechVendorInc,Central,NotReturned,0.47847730798120885,Medium
