Order_ID,Product_ID,Product_Category,Product_Price,Order_Quantity,Discount_Applied,discount_percentage,Supplier_Name,Region,Return_Status,return_probability,risk_category
ORD00000000,PROD00000000,Clothing,411.59,3,45.27,10.99880949488569,GlobalSupplyCo,North,Returned,0.5775679940552851,High
ORD00000005,PROD00000005,Electronics,252.12,1,47.61,18.883864826273204,GlobalSupplyCo,East,Returned,0.5432956155879745,High
ORD00000007,PROD00000007,Electronics,306.39,3,38.91,12.699500636443748,PrimeSourceLtd,East,Returned,0.5768380000018773,High
ORD00000008,PROD00000008,Home,302.4,5,18.5,6.117724867724869,GlobalSupplyCo,East,Returned,0.5659923321851736,High
ORD00000009,PROD00000009,Clothing,294.94,3,45.21,15.328541398250492,GlobalSupplyCo,East,Returned,0.5453193707537607,High
ORD00000017,PROD00000017,Electronics,400.12,1,18.25,4.561131660501849,QuickStockPartners,East,Returned,0.5516281119937857,High
ORD00000018,PROD00000018,Books,358.31,1,11.84,3.304401216823421,PrimeSourceLtd,South,Returned,0.5353984323803265,High
ORD00000019,PROD00000019,Electronics,227.94,5,43.86,19.241905764674915,FastShipLogistics,West,Returned,0.5951968879660215,High
ORD00000022,PROD00000022,Books,227.2,5,27.94,12.297535211267608,PrimeSourceLtd,East,Returned,0.5698849340890384,High
ORD00000023,PROD00000023,Electronics,57.14,2,43.06,75.35876793839692,ReliableSuppliesInc,East,Returned,0.6352677745341311,High
ORD00000028,PROD00000028,Toys,106.6,5,18.42,17.27954971857411,TechVendorInc,Central,Returned,0.5324130373574049,High
ORD00000037,PROD00000037,Clothing,246.15,1,23.63,9.599837497460898,PrimeSourceLtd,North,Returned,0.5915921861683517,High
ORD00000041,PROD00000041,Books,334.27,4,43.44,12.995482693630898,DirectGoodsCorp,Central,Returned,0.5456194095217822,High
ORD00000043,PROD00000043,Clothing,105.7,3,42.07,39.80132450331126,TechVendorInc,West,Returned,0.5990518666337586,High
ORD00000045,PROD00000045,Toys,294.18,2,32.7,11.115643483581481,DirectGoodsCorp,South,Returned,0.5496135205844445,High
ORD00000046,PROD00000046,Home,97.31,2,10.96,11.262974000616586,FastShipLogistics,South,Returned,0.6055912690020606,High
ORD00000048,PROD00000048,Electronics,344.31,4,10.99,3.191891028433679,PrimeSourceLtd,North,Returned,0.5433038341715383,High
ORD00000050,PROD00000050,Books,23.6,1,6.53,27.66949152542373,FastShipLogistics,East,Returned,0.5618015928140674,High
